Plot Title: Cold_L6_10779060,,,,,,
#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 10779060, SEN S/N: 10779060)",Coupler Detached (LGR S/N: 10779060),Coupler Attached (LGR S/N: 10779060),Host Connected (LGR S/N: 10779060),End Of File (LGR S/N: 10779060)
499,7/1/19 19:45,23.497,,,,
500,7/1/19 20:00,23.352,,,,
501,7/1/19 20:15,23.256,,,,
502,7/1/19 20:30,23.232,,,,
503,7/1/19 20:45,23.472,,,,
504,7/1/19 21:00,23.328,,,,
505,7/1/19 21:15,23.376,,,,
506,7/1/19 21:30,23.545,,,,
507,7/1/19 21:45,23.448,,,,
508,7/1/19 22:00,23.304,,,,
509,7/1/19 22:15,23.184,,,,
510,7/1/19 22:30,23.256,,,,
511,7/1/19 22:45,23.064,,,,
512,7/1/19 23:00,23.424,,,,
513,7/1/19 23:15,23.809,,,,
514,7/1/19 23:30,23.881,,,,
515,7/1/19 23:45,23.93,,,,
516,7/2/19 00:00,23.978,,,,
517,7/2/19 00:15,24.026,,,,
518,7/2/19 00:30,24.026,,,,
519,7/2/19 00:45,24.074,,,,
520,7/2/19 01:00,24.122,,,,
521,7/2/19 01:15,24.122,,,,
522,7/2/19 01:30,24.146,,,,
523,7/2/19 01:45,24.146,,,,
524,7/2/19 02:00,24.146,,,,
525,7/2/19 02:15,24.195,,,,
526,7/2/19 02:30,24.195,,,,
527,7/2/19 02:45,24.195,,,,
528,7/2/19 03:00,24.219,,,,
529,7/2/19 03:15,24.219,,,,
530,7/2/19 03:30,24.219,,,,
531,7/2/19 03:45,24.219,,,,
532,7/2/19 04:00,24.219,,,,
533,7/2/19 04:15,24.243,,,,
534,7/2/19 04:30,24.219,,,,
535,7/2/19 04:45,24.219,,,,
536,7/2/19 05:00,24.219,,,,
537,7/2/19 05:15,24.219,,,,
538,7/2/19 05:30,24.195,,,,
539,7/2/19 05:45,24.146,,,,
540,7/2/19 06:00,24.195,,,,
541,7/2/19 06:15,24.146,,,,
542,7/2/19 06:30,24.146,,,,
543,7/2/19 06:45,24.195,,,,
544,7/2/19 07:00,24.195,,,,
545,7/2/19 07:15,24.243,,,,
546,7/2/19 07:30,24.315,,,,
547,7/2/19 07:45,24.388,,,,
548,7/2/19 08:00,24.484,,,,
549,7/2/19 08:15,24.944,,,,
550,7/2/19 08:30,24.75,,,,
551,7/2/19 08:45,24.171,,,,
552,7/2/19 09:00,23.978,,,,
553,7/2/19 09:15,23.93,,,,
554,7/2/19 09:30,23.93,,,,
555,7/2/19 09:45,23.978,,,,
556,7/2/19 10:00,24.026,,,,
557,7/2/19 10:15,24.484,,,,
558,7/2/19 10:30,24.508,,,,
